id,document,keyphrases
S0031920113000708,"Geomagnetic jerks are conspicuous yet poorly understood phenomena of Earth’s magnetic field, motivating investigations of their morphology and the theory behind their origins. Jerks are most commonly defined by their observed form at a single observatory as ‘V’ shapes in a single component of the geomagnetic secular variation (SV), the first time derivative of the main magnetic field (MF). The times of the gradient changes, which separate linear trends of several years, have associated step changes in the second time derivative of the MF (secular acceleration (SA)) and impulses in the third time derivative. The ‘V’ shape SV definition of jerks includes an implicit expectation of a ‘large’ magnitude step change in the gradient without definition of this scale or its threshold value other than the basic need for it to be observable in the data above the highly variable background noise. Jerks can be described by their amplitude, that is, the difference in the gradients of the two linear SV segments about a jerk, A=a2-a1, where a2 is the gradient after the jerk and a1 is the gradient before the jerk. This measure is essentially the best fit SA change across a jerk. Jerk amplitude is thus positive for a positive step in SA and negative for a negative step. Here we do not consider spatial extent in our definition and refer to individual features in one field component of a given observatory time series as a single jerk.","['Earth’s magnetic field', 'Geomagnetic jerks', 'geomagnetic secular variation', 'gradient changes', 'jerk', 'Jerk amplitude', 'jerks', 'Jerks', '‘large’ magnitude step change', 'magnetic field', 'main magnetic field', 'MF', 'SA', 'SA change', 'secular acceleration', 'secular variation', 'SV', 'SV segments']"
S1574119215000796,"The proposed multihop routing protocol, PHASeR, applies the technique of blind forwarding in a MWSN, which increases the reliability of data delivery through its inherent use of multiple routes. This approach requires a gradient metric to be continuously maintained, which is problematic in a dynamic topology. The literature commonly uses either flooding or location awareness, however flooding creates large amounts of overhead and location determination schemes can often be inaccurate, power hungry and create the issue of the dead end problem. PHASeR uses a novel method of gradient maintenance in a mobile network, which requires the proactive sharing of only local topology information. This is facilitated by a global TDMA (time division multiple access) MAC (medium access control) layer and further reduces the amount of overhead, which in turn will decrease packet latency. PHASeR is also set apart by its use of encapsulation, which allows data from multiple nodes to be transmitted in the same packet in order to handle high volumes of traffic. It utilises node cooperation to create a robust multipath routing solution. As such, the contribution of this paper is a cross-layer routing protocol for MWSNs that can handle the constant flow of data from sensors in highly mobile situations.","['cross-layer routing protocol', 'cross-layer routing protocol for MWSNs', 'encapsulation', 'gradient maintenance', 'gradient metric', 'MAC', 'medium access control', 'mobile network', 'multihop routing protocol', 'MWSN', 'MWSNs', 'node', 'node cooperation', 'nodes', 'packet latency', 'PHASeR', 'sensors', 'TDMA', 'time division multiple access']"
S1877750311000676,"One way to enforce this ratio is to use a probabilistic, ‘roulette wheel’ style lane selection policy. VISSIM, along with most simulation toolkits, offers methods to specify probabilistic routing whereby a defined percentage of vehicles are sent down unique routes. This is a piecewise technique that can be reapplied at various locations around a simulation. While these methods are attractive from a calibration perspective as exact representations of existing statistics can be ensured, the process is an unrealistic one as it assumes that drivers make probabilistic decisions at precise locations. So in this case when a vehicle arrives at a point prior to the weighbridges it is allocated one of the lanes based on the respective probabilities. It turns out that this method leads to significant variations in trip times depending on the initial random number seed, this can be seen in a graphic of the key areas of the simulation for the 2 different runs (Fig. 7). One of the benefits of graphical microsimulation is that the 2D and 3D simulations help the researcher to visualise a new scheme and its potential benefits but also to highlight unrealistic behaviour. Fig. 7 shows the congestion at the decision point for 2 different runs. Using probabilistic routing to enforce correct routing percentages is a clear case of overcalibration affecting simulation brittleness.","['2D and 3D simulations', 'drivers', 'graphical microsimulation', 'lane selection policy', 'piecewise technique', 'probabilistic, ‘roulette wheel’ style', 'probabilistic routing', 'simulation', 'simulation toolkits', 'vehicle', 'VISSIM', 'weighbridges']"
S0165212511000874,"The propagation of unsteady disturbances in ducts of slowly-varying geometry, such as those typical of an aeroengine, can be successfully modelled using a multiple scales approach. From the first application [1] of multiple-scales analysis to sound propagation in ducts of rectangular and circular cross section without mean flow, more recent developments have extended the method to cases with uniform mean flow [2], mean swirling flow [3], ducts of arbitrary cross section [4] (with uniform mean flow) and strongly curved ducts [5]. The multiple-scales approach has a number of distinct advantages over full numerical methods as it is ideally suited to handle higher frequencies and the computational complexity is only marginally more than calculating the eigenmodes inside a straight parallel duct. The accuracy and usefulness of the multiple scales approach has been validated against finite-element methods [6] for realistic aeroengine configurations and acoustic frequencies [7,8].","['acoustic frequencies', 'aeroengine', 'aeroengine configurations', 'calculating the eigenmodes', 'ducts', 'finite-element methods', 'higher frequencies', 'mean flow', 'mean swirling flow', 'multiple-scales analysis', 'multiple scales approach', 'multiple-scales approach', 'numerical methods', 'propagation of unsteady disturbances', 'sound propagation', 'straight parallel duct', 'strongly curved ducts', 'uniform mean flow']"
S0029549314001551,"An increase of neutron leakage from the core region can be achieved through modifications in the core geometry (usually by adopting a pan-cake geometry of the active core region at the expense of the general neutron economy). Extensive studies determined a set of core design modifications that optimised the total sodium void reactivity (becoming less positive). Among the most efficient design solutions identified is an enlarged sodium plenum above the active core region in combination with an absorber layer above the sodium plenum (to reduce neutron backscattering from the reflector region above the plenum). Fig. 19 shows the combined effect of different upper plenum thicknesses of the absorber and boron layers. It can be observed that the sequential increase of the layer's thickness converge to an asymptotic value of reactivity reduction slightly over 800pcm. The pair of values selected was 60cm for the sodium plenum and 30cm for the boron layer. These modifications implied a considerable increase in the sub-assembly length that was compensated by reducing the upper axial reflector width (Sun et al., 2013).","['absorber and boron layers', 'absorber layer', 'axial reflector', 'boron layer', 'core', 'core design modifications that optimised the total sodium void reactivity', 'core region', 'design solutions', 'enlarged sodium plenum', 'increase in the sub-assembly length', ""increase of the layer's thickness"", 'modifications in the core geometry', 'neutron', 'neutron leakage', 'pan-cake geometry of the active core region', 'plenum', 'reactivity reduction', 'reduce neutron backscattering', 'reduce neutron backscattering from the reflector region above the plenum', 'reducing the upper axial reflector width', 'sodium', 'sodium plenum', 'upper plenum']"
S0370269304008974,"Thus, the extension to the charmed analogue Θc(3099) provides an interesting test for the SDO sum rule and lattice calculations [17]. Here, the charm quark is quite heavy so that the constituent-quark picture may fit well and the JW prediction for the parity is expected to be reproduced from QCD. In fact, quenched lattice calculation finds the parity of Θc(3099) to be positive [28]. In the extension to the Θc(3099) sum rules, there are two important aspects, which make this sum rule different from the SDO sum rule. First of all, since the charm quark is too heavy to form quark condensate, it gives non-perturbative effects only by radiating gluons. The quark–gluon mixed condensate 〈s̄gsσ·Gs〉, which was the important contribution in the Θ+ sum rule, is replaced by gluonic operators in the heavy quark expansion that are normally suppressed. Secondly, the charm quark mass has to be kept finite in the OPE, which can be done by using the momentum space expression for the charm-quark propagator. This is different from the light-quark sum rule where the calculation is performed in the coordinate space and all the quark propagators are obtained based on the expansion with the small quark mass. Keeping these two aspects in mind, we construct QCD sum rules for Θc(3099) and see how they are different from the Θ+(1540) sum rule.","['charm quark', 'charm quark mass has to be kept finite in the OPE', 'charm-quark propagator', 'constituent-quark picture', 'extension to the charmed analogue Θc(3099)', 'gluonic operators', 'heavy quark', 'JW prediction', 'momentum space expression', 'OPE', 'QCD', 'QCD sum rules', 'quark condensate', 'quark–gluon mixed condensate', 'quark propagators', 'quenched lattice calculation', 'radiating gluons', 'replaced by gluonic operators in the heavy quark expansion', 'SDO sum rule', 'SDO sum rule and lattice calculations', 'see how they are different from the Θ+(1540) sum rule', 's̄gsσ·Gs', 'small quark', 'sum rule', 'the light-quark sum rule', 'Θ+ sum rule']"
S0370269304009141,"Longitudinal beam and target single-spin asymmetries have been at the center of the attention lately, since they have been measured by the HERMES and CLAS experimental Collaborations [1–4] and more measurements are planned. They were originally believed to be signals of the so-called T-odd fragmentation functions [5], in particular, of the Collins function [6–12]. However, both types of asymmetry can receive contributions also from T-odd distribution functions [13–16], a fact that has often been neglected in analyses. An exhaustive treatment of the contributions of T-odd distribution functions has not been carried out completely so far, especially up to subleading order in an expansion in 1/Q, Q2 being the virtuality of the incident photon and the only hard scale of the process, and including quark mass corrections. It is the purpose of the present work to describe the longitudinal beam and target spin asymmetries in a complete way in terms of leading and subleading twist distribution and fragmentation functions. We consider both single-particle inclusive DIS, e+p→e′+h+X, and single-jet inclusive DIS, e+p→e′+jet+X. We assume factorization holds for these processes, even though at present there is no factorization proof for observables containing subleading-twist transverse-momentum dependent functions (only recently proofs for the leading-twist case have been presented in Refs. [17,18]).","['Collins function', 'describe the longitudinal beam and target spin asymmetries', 'e+p→e′+h+X', 'e+p→e′+jet+X', 'exhaustive treatment of the contributions of T-odd distribution functions', 'factorization', 'factorization proof for observables containing subleading-twist transverse-momentum dependent functions', 'fragmentation functions', 'HERMES and CLAS experimental Collaborations\xa0', 'incident photon', 'Longitudinal beam and target single-spin asymmetries', 'proofs for the leading-twist case', 'quark', 'quark mass corrections', 'receive contributions also from T-odd distribution functions', 'single-jet inclusive DIS', 'single-particle inclusive DIS', 'subleading order in an expansion in\xa01/Q', 'subleading-twist transverse-momentum dependent functions', 'T-odd distribution functions', 'T-odd fragmentation functions', 'twist distribution']"
S0021999114007876,"In this work, light propagation in a scattering medium with piece-wise constant refractive index using the radiative transport equation was studied. Light propagation in each sub-domain with a constant refractive index was modeled using the RTE and the equations were coupled using boundary conditions describing Fresnel reflection and transmission phenomenas on the interfaces between the sub-domains. The resulting coupled system of RTEs was numerically solved using the FEM. The proposed model was tested using simulations and was compared with the solution of the Monte Carlo method. The results show that the coupled RTE model describes light propagation accurately in comparison with the Monte Carlo method. In addition, results show that neglecting internal refractive index changes can lead to erroneous boundary measurements of scattered light. This indicates that the quality of the DOT reconstructions could possible be increased by incorporating a model for internal refractive index changes in the image reconstruction procedure.","['coupled system of RTEs', 'DOT reconstructions', 'FEM', 'Fresnel reflection and transmission phenomenas', 'image reconstruction procedure', 'light propagation in a scattering medium with piece-wise constant refractive index', 'Monte Carlo method', 'radiative transport equation', 'refractive index changes', 'RTE', 'simulations', 'solution of the Monte Carlo method']"
S0301932213001985,"In the current CLSVOF method, the normal vector is calculated directly by discretising the LS gradient using a finite difference scheme. By appropriately choosing one of three finite difference schemes (central, forward, or backward differencing), it has been demonstrated that thin liquid ligaments can be well resolved see Xiao (2012). Although a high order discretisation scheme (e.g. 5th order WENO) has been found necessary for LS evolution in pure LS methods to reduce mass error, low order LS discretisation schemes (2nd order is used here) can produce accurate results when the LS equation is solved and constrained as indicated above in a CLSVOF method (see Xiao, 2012), since the VOF method maintains 2nd order accuracy. This is a further reason to adopt the CLSVOF method, which has been used for all the following simulations of liquid jet primary breakup.","['5th order WENO', 'central, forward, or backward differencing', 'CLSVOF method', 'finite difference scheme', 'finite difference schemes', 'high order discretisation scheme', 'liquid', 'low order LS discretisation schemes', 'LS', 'LS methods', 'reduce mass error', 'simulations of liquid jet primary breakup', 'thin liquid ligaments', 'VOF method']"
S2212671612002302,Monitoring the wear condition of the tramway superstructure is one of the key points to guarantee an adequate safety level of the light rail transport system. The purpose of this paper is to suggest a new non-conventionalprocedure for measuring the transverse profile of rails in operation by means of image-processing technique. This methodological approach is based on the “information” contained in high-resolution photographic images of tracks and on specific algorithms which allow to obtain the exact geometric profile of the rails and therefore to measure the state of the rail-head extrados wear.,"['high-resolution photographic images', 'image-processing technique', 'information”', 'light rail transport system', 'Monitoring the wear condition', 'new non-conventionalprocedure', 'rails', 'safety level', 'specific algorithms', 'tracks', 'tramway superstructure', 'transverse profile', 'wear condition']"
