context,question,answer,input_data,raw_zs_free_form_result,zs_free_form_result,raw_zs_bolding_result,zs_bolding_result,raw_zs_italicizing_result,zs_italicizing_result,raw_zs_brackets_result,zs_brackets_result,raw_zs_parenthesis_result,zs_parenthesis_result,raw_zs_placeholder_result,zs_placeholder_result,raw_zs_quoting_result,zs_quoting_result
enchanted-wreath,"the walk took some time , for it was very dark , and her shoes often stuck in the mud , but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant . at last , with her dress torn by brambles that she could not see , and her fact scratched by the twigs on the trees , she reached the spot where she and her father had been cutting in the morning , and found the axe in the place he had left it . to her surprise , three little doves were sitting on the handle , all of them looking very sad .",very sad .,how did the three little doves look when the man's daughter saw them on the axe ?,GEM-FairytaleQA-test-849,how did the three little doves look when the man's daughter saw them on the axe ?,"[""how did the three little doves look when the man's daughter saw them on the axe ?""]",local,character,explicit,"Content: the walk took some time , for it was very dark , and her shoes often stuck in the mud , but she was brave as well as beautiful and never thought of turning back merely because the path was both difficult and unpleasant . at last , with her dress torn by brambles that she could not see , and her fact scratched by the twigs on the trees , she reached the spot where she and her father had been cutting in the morning , and found the axe in the place he had left it . to her surprise , three little doves were sitting on the handle , all of them looking very sad .

Question: how did the three little doves look when the man's daughter saw them on the axe ?",The three little doves looked very sad when the man's daughter saw them on the axe. <ANSWER> </ANSWER>,,**The three little doves looked very sad.**,T,*very sad*,v,The three little doves looked very sad. [[very sad]],v,The three little doves looked very sad. ((sad)),s,So the answer is: they were looking very sad.,t,"""""""""very sad""""""""",""""
the-false-prince-and-the-true,"' one day , shortly after the death of the queen , ' continued the young man , ' your highness was hunting , and outstripped all your attendants while chasing the deer . you were in a part of the country which you did not know , so seeing an orchard all pink and white with apple - blossoms , and a girl tossing a ball in one corner , you went up to her to ask your way . but when she turned to answer you , you were so struck with her beauty that all else fled from your mind . again and again you rode back to see her , and at length persuaded her to marry you . she only thought you a poor knight , and agreed that as you wished it , the marriage should be kept secret . ' ' after the ceremony you gave her three rings and a charm with a cross on it , and then put her in a cottage in the forest , thinking to hide the matter securely . ' ' for some months you visited the cottage every week ; but a rebellion broke out in a distant part of the kingdom , and called for your presence . when next you rode up to the cottage , it was empty , and none could inform you whither your bride had gone . that , sire , i can now tell you , ' and the young man paused and looked at the king , who coloured deeply . ' she went back to her father the old duke , once your chamberlain , and the cross on her breast revealed at once who you were . fierce was his anger when he heard his daughter 's tale , and he vowed that he would hide her safely from you , till the day when you would claim her publicly as your queen . '",he waited for the day that the king would announce she was queen .,why did the old duke hide his daughter from the king ?,GEM-FairytaleQA-test-349,why did the old duke hide his daughter from the king ?,['why did the old duke hide his daughter from the king ?'],local,causal relationship,implicit,"Content: ' one day , shortly after the death of the queen , ' continued the young man , ' your highness was hunting , and outstripped all your attendants while chasing the deer . you were in a part of the country which you did not know , so seeing an orchard all pink and white with apple - blossoms , and a girl tossing a ball in one corner , you went up to her to ask your way . but when she turned to answer you , you were so struck with her beauty that all else fled from your mind . again and again you rode back to see her , and at length persuaded her to marry you . she only thought you a poor knight , and agreed that as you wished it , the marriage should be kept secret . ' ' after the ceremony you gave her three rings and a charm with a cross on it , and then put her in a cottage in the forest , thinking to hide the matter securely . ' ' for some months you visited the cottage every week ; but a rebellion broke out in a distant part of the kingdom , and called for your presence . when next you rode up to the cottage , it was empty , and none could inform you whither your bride had gone . that , sire , i can now tell you , ' and the young man paused and looked at the king , who coloured deeply . ' she went back to her father the old duke , once your chamberlain , and the cross on her breast revealed at once who you were . fierce was his anger when he heard his daughter 's tale , and he vowed that he would hide her safely from you , till the day when you would claim her publicly as your queen . '

Question: why did the old duke hide his daughter from the king ?",The old duke hid his daughter from the king because he was angry and vowed to hide her safely from the king until the day he would claim her publicly as his queen. <ANSWER>Anger and desire to protect his daughter from the king</ANSWER>,A,**The old duke hid his daughter from the king because he vowed to hide her safely from the king until the day when he would claim her publicly as his queen.**,T,*The old duke hid his daughter from the king because he was angry about the secret marriage and wanted to keep her safe until the king publicly claimed her as his queen.*,T,[[Because the king had married his daughter in secret and the old duke was angry about it.]],B,((The old duke hid his daughter from the king because he was angry upon learning that the king had married her in secret and wanted to ensure that the king would claim her publicly as his queen before revealing her whereabouts.)),T,So the answer is: the old duke hid his daughter from the king because he was angry at the king for marrying her in secret and wanted to hide her until the king would claim her publicly as his queen.,t,"""""""The old duke hid his daughter from the king because he was angry about the secret marriage and wanted to keep her safe until the king publicly claimed her as his queen.""""""",T
jelly-fish-and-monkey,"at last they returned to the palace bringing with them a lovely young dragon . her scales were of glittering green like the wings of summer beetles , her eyes threw out glances of fire , and she was dressed in gorgeous robes . all the jewels of the sea worked in with embroidery adorned them . the king fell in love with her at once , and the wedding ceremony was celebrated with great splendor . every living thing in the sea , from the great whales down to the little shrimps , came in shoals to offer their congratulations to the bride and bridegroom and to wish them a long and prosperous life . never had there been such an assemblage or such gay festivities in the fish - world before . the train of bearers who carried the bride 's possessions to her new home seemed to reach across the waves from one end of the sea to the other . each fish carried a phosphorescent lantern and was dressed in ceremonial robes , gleaming blue and pink and silver ; and the waves as they rose and fell and broke that night seemed to be rolling masses of white and green fire , for the phosphorus shone with double brilliancy in honor of the event .",phosphorescent lantern .,what did each fish carry ?,GEM-FairytaleQA-test-531,what did each fish carry ?,['what did each fish carry ?'],local,action,explicit,"Content: at last they returned to the palace bringing with them a lovely young dragon . her scales were of glittering green like the wings of summer beetles , her eyes threw out glances of fire , and she was dressed in gorgeous robes . all the jewels of the sea worked in with embroidery adorned them . the king fell in love with her at once , and the wedding ceremony was celebrated with great splendor . every living thing in the sea , from the great whales down to the little shrimps , came in shoals to offer their congratulations to the bride and bridegroom and to wish them a long and prosperous life . never had there been such an assemblage or such gay festivities in the fish - world before . the train of bearers who carried the bride 's possessions to her new home seemed to reach across the waves from one end of the sea to the other . each fish carried a phosphorescent lantern and was dressed in ceremonial robes , gleaming blue and pink and silver ; and the waves as they rose and fell and broke that night seemed to be rolling masses of white and green fire , for the phosphorus shone with double brilliancy in honor of the event .

Question: what did each fish carry ?","<ANSWER> Each fish carried a phosphorescent lantern and was dressed in ceremonial robes, gleaming blue and pink and silver. </ANSWER>",E,**Each fish carried a phosphorescent lantern and was dressed in ceremonial robes.**,E,*Each fish carried a phosphorescent lantern and was dressed in ceremonial robes.*,E,Each fish carried a phosphorescent lantern and was dressed in ceremonial robes. [[phosphorescent lantern and ceremonial robes]],p,Each fish carried a phosphorescent lantern and was dressed in ceremonial robes. ((phosphorescent lantern and ceremonial robes)),p,So the answer is: phosphorescent lantern.,p,"""Each fish carried a phosphorescent lantern and was dressed in ceremonial robes, gleaming blue and pink and silver.""",
whippety-stourie,"and as the poor young thing , after having a good cry to herself , was drying her eyes , she chanced to look down the hill , and who should she see coming up it but an old woman , who looked like a lady born . she was dressed all in green , with a white apron , and she wore a black velvet hood on her head , and a steeple - crowned beaver hat over that , something like those , as i have heard tell , that the women wear in wales . she walked very slowly , leaning on a long staff , and she gave a bit hirple now and then , as if she were lame . as she drew near , the young widow felt it was becoming to rise and curtsey to the gentlewoman , for such she saw her to be .",an old woman .,who looked like a lady born ?,GEM-FairytaleQA-test-382,who looked like a lady born ?,['who looked like a lady born ?'],local,character,explicit,"Content: and as the poor young thing , after having a good cry to herself , was drying her eyes , she chanced to look down the hill , and who should she see coming up it but an old woman , who looked like a lady born . she was dressed all in green , with a white apron , and she wore a black velvet hood on her head , and a steeple - crowned beaver hat over that , something like those , as i have heard tell , that the women wear in wales . she walked very slowly , leaning on a long staff , and she gave a bit hirple now and then , as if she were lame . as she drew near , the young widow felt it was becoming to rise and curtsey to the gentlewoman , for such she saw her to be .

Question: who looked like a lady born ?",<ANSWER> the old woman </ANSWER>,t,**The old woman looked like a lady born.**,T,*the old woman*,t,[[the old woman]],t,((the old woman)),t,So the answer is: the old woman,t,"""""""The old woman looked like a lady born.""""""",T
the-false-prince-and-the-true,"' by and bye i was born , and was brought up by my grandfather in one of his great houses . here are the rings you gave to my mother , and here is the cross , and these will prove if i am your son or not . ' as he spoke the young man laid the jewels at the feet of the king , and the nobles and the judges pressed round to examine them . the king alone did not move from his seat , for he had forgotten the hall of justice and all about him , and saw only the apple - orchard , as it was twenty years ago , and the beautiful girl playing at ball . a sudden silence round him made him look up , and he found the eyes of the assembly fixed on him . ' it is true ; it is he who is my son , and not the other , ' he said with an effort , ' and let every man present swear to acknowledge him as king , after my death . ' therefore one by one they all knelt before him and took the oath , and a message was sent to the false prince , forbidding him ever again to appear at court , though a handsome pension was granted him .","he had forgotten the hall of justice and all about him , and saw only the apple - orchard .",why didn't the king move from his seat ?,GEM-FairytaleQA-test-352,why didn't the king move from his seat ?,"[""why didn't the king move from his seat ?""]",local,causal relationship,explicit,"Content: ' by and bye i was born , and was brought up by my grandfather in one of his great houses . here are the rings you gave to my mother , and here is the cross , and these will prove if i am your son or not . ' as he spoke the young man laid the jewels at the feet of the king , and the nobles and the judges pressed round to examine them . the king alone did not move from his seat , for he had forgotten the hall of justice and all about him , and saw only the apple - orchard , as it was twenty years ago , and the beautiful girl playing at ball . a sudden silence round him made him look up , and he found the eyes of the assembly fixed on him . ' it is true ; it is he who is my son , and not the other , ' he said with an effort , ' and let every man present swear to acknowledge him as king , after my death . ' therefore one by one they all knelt before him and took the oath , and a message was sent to the false prince , forbidding him ever again to appear at court , though a handsome pension was granted him .

Question: why didn't the king move from his seat ?","<ANSWER> The king did not move from his seat because he was lost in a flashback, reliving a memory from twenty years ago. </ANSWER>",T,**He didn't move from his seat because he was lost in his memories of the past and was focused on the image of the beautiful girl playing at ball in the apple orchard.**,H,"*The king didn't move from his seat because he had forgotten the hall of justice and all about him, and saw only the apple-orchard, as it was twenty years ago, and the beautiful girl playing at ball.*",T,"The king didn't move from his seat because he had forgotten the hall of justice and all about him, and saw only the apple-orchard, as it was twenty years ago, and the beautiful girl playing at ball. [[Therefore, he was lost in his memories and was not aware of his surroundings.]]",T,((Because he was lost in a memory of the apple orchard and the beautiful girl playing at ball.)),B,"So the answer is: because he had forgotten the hall of justice and all about him, and saw only the apple-orchard, as it was twenty years ago, and the beautiful girl playing at ball.",b,'''The king didn't move from his seat because he had forgotten the hall of justice and was lost in memories of the past.''',T
the-dwarfie-stone,"at these words harold 's vanity was flattered , and he thought that , after all , his step - brother was right , and that he had a very small chance , with his meagre gift of speech , of being successful in his suit . so he threw down his dagger , and , shaking hands with him , begged him to pardon his unkind thoughts , and went down the winding stair again in high good - humour with himself and all the world . by this time it was coming near to the feast of yule , and at that festival it was the custom for the earl and his court to leave kirkwall for some weeks , and go to the great palace of orphir , nine miles distant . and in order to see that everything was ready , earl paul took his departure some days before the others . the evening before he left he chanced to find the lady morna sitting alone in one of the deep windows of the great hall . she had been weeping , for she was full of sadness at the thought of his departure ; and at the sight of her distress the kind - hearted young earl could no longer contain himself , but , folding her in his arms , he whispered to her how much he loved her , and begged her to promise to be his wife .","folded her in his arms , he whispered to her how much he loved her , and begged her to promise to be his wife .",what did paul do after he saw lady morna crying ?,GEM-FairytaleQA-test-212,what did paul do after he saw lady morna crying ?,['what did paul do after he saw lady morna crying ?'],local,action,explicit,"Content: at these words harold 's vanity was flattered , and he thought that , after all , his step - brother was right , and that he had a very small chance , with his meagre gift of speech , of being successful in his suit . so he threw down his dagger , and , shaking hands with him , begged him to pardon his unkind thoughts , and went down the winding stair again in high good - humour with himself and all the world . by this time it was coming near to the feast of yule , and at that festival it was the custom for the earl and his court to leave kirkwall for some weeks , and go to the great palace of orphir , nine miles distant . and in order to see that everything was ready , earl paul took his departure some days before the others . the evening before he left he chanced to find the lady morna sitting alone in one of the deep windows of the great hall . she had been weeping , for she was full of sadness at the thought of his departure ; and at the sight of her distress the kind - hearted young earl could no longer contain himself , but , folding her in his arms , he whispered to her how much he loved her , and begged her to promise to be his wife .

Question: what did paul do after he saw lady morna crying ?","<ANSWER> Paul folded her in his arms, whispered his love for her, and begged her to promise to be his wife. </ANSWER>",P,"**He folded her in his arms and whispered to her how much he loved her, and begged her to promise to be his wife.**",H,"*Paul folded her in his arms, whispered to her how much he loved her, and begged her to promise to be his wife.*",P,"[[Paul folded her in his arms, whispered to her how much he loved her, and begged her to promise to be his wife.]]",P,"((He comforted her and expressed his love, asking her to be his wife.))",H,So the answer is: Paul folded her in his arms and whispered to her how much he loved her and begged her to promise to be his wife.,P,"""Earl Paul, folding her in his arms, whispered to her how much he loved her and begged her to promise to be his wife.""",
the-sea-king-gift,"' we shall require a better house , ' said maie the following summer ; ' the old one is too small for ourselves and the men . ' ' yes , ' said matte . so he built a large cottage , with a real lock to the door , and a store - house for fish as well ; and he and his men caught such quantities of fish that they sent tons of salmon , herring , and cod to russian and sweden . ' i am quite overworked with so many folk , ' said maie ; ' a girl to help me would not come amiss . ' ' get one , then , ' said her husband ; and so they hired a girl . then maie said : ' we have too little milk for all these folk . now that i have a servant , with the same amount of trouble she could look after three cows . ' ' all right , then , ' said her husband , somewhat provoked , ' you can sing a song to the fairies . '","a large cottage , with a real lock to the door , and a store - house .",what did matte build ?,GEM-FairytaleQA-test-500,what did matte build ?,['what did matte build ?'],local,action,explicit,"Content: ' we shall require a better house , ' said maie the following summer ; ' the old one is too small for ourselves and the men . ' ' yes , ' said matte . so he built a large cottage , with a real lock to the door , and a store - house for fish as well ; and he and his men caught such quantities of fish that they sent tons of salmon , herring , and cod to russian and sweden . ' i am quite overworked with so many folk , ' said maie ; ' a girl to help me would not come amiss . ' ' get one , then , ' said her husband ; and so they hired a girl . then maie said : ' we have too little milk for all these folk . now that i have a servant , with the same amount of trouble she could look after three cows . ' ' all right , then , ' said her husband , somewhat provoked , ' you can sing a song to the fairies . '

Question: what did matte build ?",<ANSWER> Matte built a large cottage with a real lock to the door and a store-house for fish. </ANSWER>,M,**a large cottage**,a,*He built a large cottage with a real lock to the door and a store-house for fish.*,H,"[[Matte built a large cottage with a real lock to the door, and a store-house for fish.]]",M,Matte built a large cottage with a real lock to the door and a store-house for fish. ((A large cottage with a real lock to the door and a store-house for fish.)),A,"So the answer is: a large cottage with a real lock to the door, and a store-house for fish.",a,"""""""Matte built a large cottage with a real lock to the door and a store-house for fish.""""""",M
golden-goose,"dullhead asked him what he was taking so much to heart , and the man answered : ' i do n't know how i am ever to quench this terrible thirst i am suffering from . cold water does n't suit me at all . to be sure i 've emptied a whole barrel of wine , but what is one drop on a hot stone ? ' ' i think i can help you , ' said dullhead . ' come with me , and you shall drink to your heart 's content . ' so he took him to the king 's cellar , and the man sat down before the huge casks and drank and drank till he drank up the whole contents of the cellar before the day closed .",thirsty .,how did the little grey man feel when dullhead saw him ?,GEM-FairytaleQA-test-690,how did the little grey man feel when dullhead saw him ?,['how did the little grey man feel when dullhead saw him ?'],local,feeling,explicit,"Content: dullhead asked him what he was taking so much to heart , and the man answered : ' i do n't know how i am ever to quench this terrible thirst i am suffering from . cold water does n't suit me at all . to be sure i 've emptied a whole barrel of wine , but what is one drop on a hot stone ? ' ' i think i can help you , ' said dullhead . ' come with me , and you shall drink to your heart 's content . ' so he took him to the king 's cellar , and the man sat down before the huge casks and drank and drank till he drank up the whole contents of the cellar before the day closed .

Question: how did the little grey man feel when dullhead saw him ?",<ANSWER>Thirsty</ANSWER>,T,**The little grey man felt thirsty.**,T,*The little grey man felt relieved when dullhead saw him.*,T,[[The little grey man felt relieved when dullhead saw him.]],T,((The little grey man felt grateful when dullhead saw him.)),T,So the answer is: The little grey man felt desperate and thirsty.,T,"""""""Grateful for dullhead's offer to help.""""""",G
happy-hunter-skillful-fisher,""" perhaps your daughters have told you , king ryn jin , that i have come here to try and recover my brother 's fishing hook , which i lost while fishing the other day . may i ask you to be so kind as to inquire of all your subjects if any of them have seen a fishing hook lost in the sea ? "" "" certainly , "" said the obliging sea king , "" i will immediately summon them all here and ask them . """,summon all his subjects and ask them about the hook .,what did the sea king do to help the happy hunter ?,GEM-FairytaleQA-test-941,what did the sea king do to help the happy hunter ?,['what did the sea king do to help the happy hunter ?'],local,action,implicit,"Content: "" perhaps your daughters have told you , king ryn jin , that i have come here to try and recover my brother 's fishing hook , which i lost while fishing the other day . may i ask you to be so kind as to inquire of all your subjects if any of them have seen a fishing hook lost in the sea ? "" "" certainly , "" said the obliging sea king , "" i will immediately summon them all here and ask them . ""

Question: what did the sea king do to help the happy hunter ?",The sea king summoned all his subjects to inquire if any of them had seen a fishing hook lost in the sea. <ANSWER>He summoned all his subjects.</ANSWER>,H,**The sea king agreed to summon all his subjects to inquire about the lost fishing hook.**,T,*The sea king summoned all his subjects and asked them if they had seen a lost fishing hook in the sea.*,T,[[He promised to summon all his subjects and ask them about the lost fishing hook.]],H,The sea king summoned all his subjects to inquire if any of them had seen the lost fishing hook in the sea. ((He asked all his subjects if they had seen the lost fishing hook in the sea.)),H,So the answer is: the sea king agreed to summon all his subjects and ask them if they had seen the lost fishing hook in the sea.,t,"""""""The sea king agreed to summon all his subjects and ask them if they had seen a lost fishing hook in the sea.""""""",T
whippety-stourie,"she stood and looked at the dying creature for some minutes , rocking to and fro and muttering to herself in words which the widow could not understand ; at least , she could only understand four of them , and they sounded something like this : "" pitter - patter , haly water . "" then she put her hand into her pocket and drew out a tiny bottle with a liquid that looked like oil in it . she took the cork out , and dropped one of her long lady - like fingers into it ; then she touched the pig on the snout and on his ears , and on the tip of his curly tail . no sooner had she done so than up the beast jumped , and , with a grunt of contentment , ran off to its trough to look for its breakfast . a joyful woman was the mistress of kittlerumpit when she saw it do this , for she felt that her rent was safe ; and in her relief and gratitude she would have kissed the hem of the strange lady 's green gown , if she would have allowed it , but she would not . "" no , no , "" said she , and her voice sounded harsher than ever . "" let us have no fine meanderings , but let us stick to our bargain . i have done my part , and mended the pig ; now ye must do yours , and give me what i like to ask -- your son . "" then the poor widow gave a piteous cry , for she knew now what she had not guessed before -- that the green - clad lady was a fairy , and a wicked fairy too , else had she not asked such a terrible thing . it was too late now , however , to pray , and beseech , and beg for mercy ; the fairy stood her ground , hard and cruel . ",joyful .,how will the widowed mistress feel after the old woman cures her pig ?,GEM-FairytaleQA-test-392,how will the widowed mistress feel after the old woman cures her pig ?,['how will the widowed mistress feel after the old woman cures her pig ?'],summary,prediction,explicit,"Content: she stood and looked at the dying creature for some minutes , rocking to and fro and muttering to herself in words which the widow could not understand ; at least , she could only understand four of them , and they sounded something like this : "" pitter - patter , haly water . "" then she put her hand into her pocket and drew out a tiny bottle with a liquid that looked like oil in it . she took the cork out , and dropped one of her long lady - like fingers into it ; then she touched the pig on the snout and on his ears , and on the tip of his curly tail . no sooner had she done so than up the beast jumped , and , with a grunt of contentment , ran off to its trough to look for its breakfast . a joyful woman was the mistress of kittlerumpit when she saw it do this , for she felt that her rent was safe ; and in her relief and gratitude she would have kissed the hem of the strange lady 's green gown , if she would have allowed it , but she would not . "" no , no , "" said she , and her voice sounded harsher than ever . "" let us have no fine meanderings , but let us stick to our bargain . i have done my part , and mended the pig ; now ye must do yours , and give me what i like to ask -- your son . "" then the poor widow gave a piteous cry , for she knew now what she had not guessed before -- that the green - clad lady was a fairy , and a wicked fairy too , else had she not asked such a terrible thing . it was too late now , however , to pray , and beseech , and beg for mercy ; the fairy stood her ground , hard and cruel . 

Question: how will the widowed mistress feel after the old woman cures her pig ?","<ANSWER> The widowed mistress will feel joyful, relieved, and grateful after the old woman cures her pig. </ANSWER>",T,**Relieved and grateful.**,R,*Relieved and grateful*,R,[[Relieved and grateful.]],R,The widowed mistress will feel joyful and relieved after the old woman cures her pig. ((joyful and relieved)),j,So the answer is: The widowed mistress will feel joyful and relieved after the old woman cures her pig.,T,"""""""The widowed mistress will feel joyful and relieved after the old woman cures her pig.""""""",T
three-princesses-in-whiteland,""" now you must go to the castle , and let the trolls whip you one night through for each one of us , "" said she , "" and if you can hold out , you will have delivered us . "" "" yes , "" said the youth , he could manage that . "" when you go in , "" added the princess , "" you will find two lions standing by the door ; but if you pass directly between them , they will do you no harm . go on into a dark little room and lie down , and then the troll will come and beat you ; but after that you must take the bottle that hangs on the wall , and anoint yourself where he has beaten you , and you will be whole again . and take the sword that hangs beside the bottle , and kill the troll with it . "" he did as the princess had told him , passed between the lions as though he did not see them , and right into the little room , where he lay down . the first night a troll with three heads and three whips came , and beat the youth badly ; but he held out , and when the troll had finished , he took the bottle and anointed himself , grasped the sword and killed the troll . when he came out in the morning the princesses were out of the ground up to their waists . the next night it was the same ; but the troll who came this time had six heads and six whips , and beat him worse than the first one .",the troll who came the second night had six heads and six whips .,how was the troll on the second night different from the troll on the first night ?,GEM-FairytaleQA-test-723,how was the troll on the second night different from the troll on the first night ?,['how was the troll on the second night different from the troll on the first night ?'],local,character,explicit,"Content: "" now you must go to the castle , and let the trolls whip you one night through for each one of us , "" said she , "" and if you can hold out , you will have delivered us . "" "" yes , "" said the youth , he could manage that . "" when you go in , "" added the princess , "" you will find two lions standing by the door ; but if you pass directly between them , they will do you no harm . go on into a dark little room and lie down , and then the troll will come and beat you ; but after that you must take the bottle that hangs on the wall , and anoint yourself where he has beaten you , and you will be whole again . and take the sword that hangs beside the bottle , and kill the troll with it . "" he did as the princess had told him , passed between the lions as though he did not see them , and right into the little room , where he lay down . the first night a troll with three heads and three whips came , and beat the youth badly ; but he held out , and when the troll had finished , he took the bottle and anointed himself , grasped the sword and killed the troll . when he came out in the morning the princesses were out of the ground up to their waists . the next night it was the same ; but the troll who came this time had six heads and six whips , and beat him worse than the first one .

Question: how was the troll on the second night different from the troll on the first night ?","The troll on the second night had six heads and six whips, while the troll on the first night had three heads and three whips. <ANSWER>He was more menacing and powerful.</ANSWER>",H,"**The troll on the second night had six heads and six whips, while the troll on the first night had three heads and three whips.**",T,"*The troll on the second night had six heads and six whips, while the troll on the first night had three heads and three whips.*",T,"The troll on the second night had six heads and six whips, while the troll on the first night had three heads and three whips. [[six heads and six whips]]",s,"The troll on the second night had six heads and six whips, which was different from the troll on the first night who had three heads and three whips.
((The troll on the second night had six heads and six whips.))",T,"So the answer is: The troll on the second night had six heads and six whips, while the troll on the first night had three heads and three whips.",T,"""""""The troll on the second night had six heads and six whips, while the troll on the first night had three heads and three whips.""""""",T
