doc_id,document,top_k,category,input_data,answer,python_output,yaml_output
02567fd428a675ca91a0c6786f47f3e35881bcbd,document : Deep Label Distribution Learning With Label Ambiguity Convolutional Neural Networks ( ConvNets ) have achieved excellent recognition performance in various visual recognition tasks . A large labeled training set is one of the most important factors for its success .,1,"['Task', 'Method']",document : Deep Label Distribution Learning With Label Ambiguity Convolutional Neural Networks ( ConvNets ) have achieved excellent recognition performance in various visual recognition tasks . A large labeled training set is one of the most important factors for its success .,"{'Task': ['Label Ambiguity', 'recognition', 'visual recognition tasks'], 'Method': ['Deep Label Distribution Learning', 'Convolutional Neural Networks', 'ConvNets']}","<ANSWER>
{'Task': ['visual recognition'], 'Method': ['Deep Label Distribution Learning', 'Convolutional Neural Networks (ConvNets)']}
</ANSWER>","<ANSWER>
Tasks: [""visual recognition""], ""labeled training""
Methods: [""Deep Label Distribution Learning""], [""Convolutional Neural Networks (ConvNets)""]
</ANSWER>"
02b3d1d162080d9aefd3fc30a0bcc9a843073b5d,"In this work we explore recent advances in Recurrent Neural Networks for large scale Language Modeling , a task central to language understanding . We extend current models to deal with two key challenges present in this task : corpora and vocabulary sizes , and complex , long term structure of language . We perform an exhaustive study on techniques such as character Convolutional Neural Networks or Long - Short Term Memory , on the One Billion Word Benchmark .",1,"['Task', 'Method']","In this work we explore recent advances in Recurrent Neural Networks for large scale Language Modeling , a task central to language understanding . We extend current models to deal with two key challenges present in this task : corpora and vocabulary sizes , and complex , long term structure of language . We perform an exhaustive study on techniques such as character Convolutional Neural Networks or Long - Short Term Memory , on the One Billion Word Benchmark .","{'Task': ['language understanding', 'Language Modeling'], 'Method': ['character Convolutional Neural Networks', 'Recurrent Neural Networks', 'Long - Short Term Memory']}","<ANSWER>
{'Task': ['large scale Language Modeling', 'deal with corpora and vocabulary sizes', 'handle complex, long term structure of language'],
 'Method': ['Recurrent Neural Networks', 'character Convolutional Neural Networks', 'Long - Short Term Memory', 'exhaustive study']
}
</ANSWER>","<ANSWER>
Task:
- Language Modeling
- Large scale Language Modeling
- Understanding Language

Methods:
- Recurrent Neural Networks
- Character Convolutional Neural Networks
- Long Short Term Memory
</ANSWER>

The document discusses recent advances in Recurrent Neural Networks (RNNs) for large scale Language Modeling, which is a central task for understanding language. The authors of the document aim to address two key challenges in this task: corpora and vocabulary sizes, and the complex, long term structure of language. They conduct an exhaustive study on techniques such as character Convolutional Neural Networks (CNNs) and Long Short Term Memory (LSTM) on the One Billion Word Benchmark. Therefore, the tasks are Language Modeling, Large scale Language Modeling, and Understanding Language. The methods used are Recurrent Neural Networks, Character Convolutional Neural Networks, and Long Short Term Memory."
0398552184f80db111e9c28bf533b395f233ac00,Bridging Saliency Detection to Weakly Supervised Object Detection Based on Self - paced Curriculum Learning section : Abstract Weakly - supervised object detection ( WOD ) is a challenging problems in computer vision .,1,"['Task', 'Method']",Bridging Saliency Detection to Weakly Supervised Object Detection Based on Self - paced Curriculum Learning section : Abstract Weakly - supervised object detection ( WOD ) is a challenging problems in computer vision .,"{'Task': ['WOD', 'Weakly Supervised Object Detection', 'Bridging Saliency Detection', 'Weakly - supervised object detection', 'computer vision'], 'Method': ['Self - paced Curriculum Learning']}","<ANSWER>
{'Task': ['Weakly-supervised object detection'], 'Method': ['Self-paced Curriculum Learning']}
</ANSWER>","<ANSWER>
- Task: Weakly-supervised Object Detection (WOD)
- Method: Self-paced Curriculum Learning
<ANSWER>"
05d2700846c0323f79c1344aca5333994c7c03a5,"document : The IBM 2016 English Conversational Telephone Speech Recognition System We describe a collection of acoustic and language modeling techniques that lowered the word error rate of our English conversational telephone LVCSR system to a record 6.6 % on the Switchboard subset of the Hub5 2000 evaluation testset . On the acoustic side , we use a score fusion of three strong models : recurrent nets with maxout activations , very deep convolutional nets with 3x3 kernels , and bidirectional long short - term memory nets which operate on FMLLR and i - vector features .",1,"['Task', 'Method']","document : The IBM 2016 English Conversational Telephone Speech Recognition System We describe a collection of acoustic and language modeling techniques that lowered the word error rate of our English conversational telephone LVCSR system to a record 6.6 % on the Switchboard subset of the Hub5 2000 evaluation testset . On the acoustic side , we use a score fusion of three strong models : recurrent nets with maxout activations , very deep convolutional nets with 3x3 kernels , and bidirectional long short - term memory nets which operate on FMLLR and i - vector features .","{'Task': ['IBM 2016 English Conversational Telephone Speech Recognition System'], 'Method': ['3x3 kernels', 'maxout activations', 'strong models', 'recurrent nets', 'bidirectional long short - term memory nets', 'deep convolutional nets', 'acoustic and language modeling techniques', 'English conversational telephone LVCSR system']}","<ANSWER>
{'Task': ['lowering the word error rate of our English conversational telephone LVCSR system'], 'Method': ['score fusion of three strong models', 'recurrent nets with maxout activations', 'very deep convolutional nets with 3x3 kernels', 'bidirectional long short - term memory nets which operate on FMLLR and i - vector features']}
</ANSWER>","<ANSWER>
Tasks:
- Lowering word error rate of English conversational telephone LVCSR system
- Evaluation on Switchboard subset of Hub5 2000 testset

Methods:
- Score fusion of three strong acoustic models
  - Recurrent nets with maxout activations
  - Very deep convolutional nets with 3x3 kernels
  - Bidirectional long short-term memory nets
  - Operate on FMLLR and i-vector features
</ANSWER>"
0626908dd710b91aece1a81f4ca0635f23fc47f3,"document : Rethinking the Inception Architecture for Computer Vision Convolutional networks are at the core of most state - of - the - art computer vision solutions for a wide variety of tasks . Since 2014 very deep convolutional networks started to become mainstream , yielding substantial gains in various benchmarks .",1,"['Task', 'Method']","document : Rethinking the Inception Architecture for Computer Vision Convolutional networks are at the core of most state - of - the - art computer vision solutions for a wide variety of tasks . Since 2014 very deep convolutional networks started to become mainstream , yielding substantial gains in various benchmarks .","{'Task': ['Computer Vision'], 'Method': ['computer vision solutions', 'deep convolutional networks', 'Inception Architecture', 'Convolutional networks']}","<ANSWER>
{'Task': ['a wide variety of tasks'], 'Method': ['very deep convolutional networks', 'convolutional networks']}
</ANSWER>","<ANSWER>
- Task: computer vision solutions
- Task: a wide variety of tasks
- Method: very deep convolutional networks
- Method: yielding substantial gains
- Method: since 2014
</ANSWER>"
0678a8abea82793993cd89383319da75f6dc4be3,"document : ProNet : Learning to Propose Object - specific Boxes for Cascaded Neural Networks This paper aims to classify and locate objects accurately and efficiently , without using bounding box annotations . It is challenging as objects in the wild could appear at arbitrary locations and in different scales .",1,"['Task', 'Method']","document : ProNet : Learning to Propose Object - specific Boxes for Cascaded Neural Networks This paper aims to classify and locate objects accurately and efficiently , without using bounding box annotations . It is challenging as objects in the wild could appear at arbitrary locations and in different scales .","{'Task': [], 'Method': ['ProNet', 'Learning to Propose Object - specific Boxes for Cascaded Neural Networks']}","<ANSWER>
{'Task': ['classify and locate objects accurately and efficiently', 'without using bounding box annotations'],
 'Method': ['Learning to Propose Object-specific Boxes for Cascaded Neural Networks']
}
</ANSWER>","<ANSWER>
Task: Object classification and localization without using bounding box annotations
Method: Cascaded Neural Networks
<ANSWER>"
081531984770a74e87dbd68907061b4b0f3631bf,"document : Real - Time Video Super - Resolution with Spatio - Temporal Networks and Motion Compensation Convolutional neural networks have enabled accurate image super - resolution in real - time . However , recent attempts to benefit from temporal correlations in video super - resolution have been limited to naive or inefficient architectures .",1,"['Task', 'Method']","document : Real - Time Video Super - Resolution with Spatio - Temporal Networks and Motion Compensation Convolutional neural networks have enabled accurate image super - resolution in real - time . However , recent attempts to benefit from temporal correlations in video super - resolution have been limited to naive or inefficient architectures .","{'Task': ['Real - Time Video Super - Resolution', 'video super - resolution', 'image super - resolution in real - time'], 'Method': ['Convolutional neural networks', 'Motion Compensation', 'Spatio - Temporal Networks']}","<ANSWER>
{'Task': ['Real-time Video Super-Resolution'], 'Method': ['Spatio-Temporal Networks', 'Motion Compensation Convolutional neural networks']}
</ANSWER>","<ANSWER>
Tasks:
- Real-time video super-resolution
- Benefiting from temporal correlations in video super-resolution

Methods:
- Spatio-temporal Networks
- Motion Compensation Convolutional neural networks
- Accurate image super-resolution
- Naive architectures
- Inefficient architectures
</ANSWER>"
0834e74304b547c9354b6d7da6fa78ef47a48fa8,"document : LINE : Large - scale Information Network Embedding This paper studies the problem of embedding very large information networks into low - dimensional vector spaces , which is useful in many tasks such as visualization , node classification , and link prediction . Most existing graph embedding methods do not scale for real world information networks which usually contain millions of nodes .",1,"['Task', 'Method']","document : LINE : Large - scale Information Network Embedding This paper studies the problem of embedding very large information networks into low - dimensional vector spaces , which is useful in many tasks such as visualization , node classification , and link prediction . Most existing graph embedding methods do not scale for real world information networks which usually contain millions of nodes .","{'Task': ['low - dimensional vector spaces', 'link prediction', 'node classification', 'real world information networks', 'embedding very large information networks', 'visualization'], 'Method': ['Large - scale Information Network Embedding', 'LINE', 'graph embedding methods']}","<ANSWER>
{'Task': ['visualization', 'node classification', 'link prediction'], 'Method': ['Large-scale Information Network Embedding']}
</ANSWER>","<ANSWER>
- Task: [[""Visualization"", ""Node classification"", ""Link prediction""]]
- Method: [""Large-scale Information Network Embedding""]
</ANSWER>

<ANSWER>
- Task: [""Visualization"", ""Node classification"", ""Link prediction""]
- Method: [""Large-scale Information Network Embedding (studied in the paper)""]
</ANSWER>

<ANSWER>
- Task: [""Visualization"", ""Node classification"", ""Link prediction""]
- Method: [""Large-scale Information Network Embedding (useful for the tasks)""]
</ANSWER>

<ANSWER>
- Task: [""Visualization"", ""Node classification"", ""Link prediction""]
- Method: [""Embedding very large information networks into low-dimensional vector spaces (goal of the paper)""]
</ANSWER>

<ANSWER>
- Task: [""Visualization"", ""Node classification"", ""Link prediction""]
- Method: [""Most existing graph embedding methods (not scalable for real world information networks)""]
</ANSWER>

<ANSWER>
- Task: [""Visualization"", ""Node classification"", ""Link prediction""]
- Method: [""Studying the problem of embedding very large information networks into low-dimensional vector spaces (focus of the paper)""]
</ANSWER>"
0a3381f0432c5cfe491c718349d7a44e5814592c,"document : Compositional Sequence Labeling Models for Error Detection in Learner Writing In this paper , we present the first experiments using neural network models for the task of error detection in learner writing . We perform a systematic comparison of alternative compositional architectures and propose a framework for error detection based on bidirectional LSTMs .",1,"['Task', 'Method']","document : Compositional Sequence Labeling Models for Error Detection in Learner Writing In this paper , we present the first experiments using neural network models for the task of error detection in learner writing . We perform a systematic comparison of alternative compositional architectures and propose a framework for error detection based on bidirectional LSTMs .","{'Task': ['Learner Writing', 'Error Detection', 'error detection', 'learner writing'], 'Method': ['Compositional Sequence Labeling Models', 'LSTMs', 'neural network models', 'compositional architectures']}","<ANSWER>
{'Task': ['error detection in learner writing'], 'Method': ['neural network models', 'compositional architectures', 'bidirectional LSTMs']}
</ANSWER>","<ANSWER>
Tasks:
- error detection in learner writing

Methods:
- neural network models
- compositional architectures
- bidirectional LSTMs
</ANSWER>"
0a6c36de8726b6feaab586046ddc1d1a008f44f9,document : Filtered Channel Features for Pedestrian Detection This paper starts from the observation that multiple top performing pedestrian detectors can be modelled by using an intermediate layer filtering low - level features in combination with a boosted decision forest . Based on this observation we propose a unifying framework and experimentally explore different filter families .,1,"['Task', 'Method']",document : Filtered Channel Features for Pedestrian Detection This paper starts from the observation that multiple top performing pedestrian detectors can be modelled by using an intermediate layer filtering low - level features in combination with a boosted decision forest . Based on this observation we propose a unifying framework and experimentally explore different filter families .,"{'Task': ['Pedestrian Detection'], 'Method': ['boosted decision forest', 'unifying framework', 'Filtered Channel Features', 'top performing pedestrian detectors', 'intermediate layer filtering low - level features', 'filter families']}","<ANSWER>
{'Task': ['pedestrian detection'], 'Method': ['intermediate layer filtering', 'low-level features', 'boosted decision forest']}
</ANSWER>","<ANSWER>
Tasks:
- Pedestrian Detection

Methods:
- Intermediate layer filtering
- Low-level feature filtering
- Boosted decision forest
</ANSWER>"
