doc_id,document,top_k,category,input_data,answer,python_output,yaml_output
02567fd428a675ca91a0c6786f47f3e35881bcbd,"document : Deep Label Distribution Learning With Label Ambiguity Convolutional Neural Networks ( ConvNets ) have achieved excellent recognition performance in various visual recognition tasks . A large labeled training set is one of the most important factors for its success . However , it is difficult to collect sufficient training images with precise labels in some domains such as apparent age estimation , head pose estimation , multi - label classification and semantic segmentation . Fortunately , there is ambiguous information among labels , which makes these tasks different from traditional classification .",5,"['Task', 'Method', 'Material', 'Metric']","document : Deep Label Distribution Learning With Label Ambiguity Convolutional Neural Networks ( ConvNets ) have achieved excellent recognition performance in various visual recognition tasks . A large labeled training set is one of the most important factors for its success . However , it is difficult to collect sufficient training images with precise labels in some domains such as apparent age estimation , head pose estimation , multi - label classification and semantic segmentation . Fortunately , there is ambiguous information among labels , which makes these tasks different from traditional classification .","{'Task': ['semantic segmentation', 'age estimation', 'head pose estimation', 'Label Ambiguity', 'classification', 'multi - label classification', 'recognition', 'visual recognition tasks'], 'Method': ['Deep Label Distribution Learning', 'Convolutional Neural Networks', 'ConvNets'], 'Material': [], 'Metric': []}","<ANSWER>
{'Task': ['apparent age estimation', 'head pose estimation', 'multi-label classification', 'semantic segmentation'],
 'Method': ['Deep Label Distribution Learning', 'Convolutional Neural Networks (ConvNets)'],
 'Material': ['large labeled training set'],
 'Metric': ['recognition performance']}
</ANSWER>","<ANSWER>
Task:
- Apparent age estimation
- Head pose estimation
- Multi-label classification
- Semantic segmentation

Method:
- Deep Label Distribution Learning
- Convolutional Neural Networks (ConvNets)

Material:
- Labeled training set

Metric:
- Recognition performance
</ANSWER>"
02b3d1d162080d9aefd3fc30a0bcc9a843073b5d,"In this work we explore recent advances in Recurrent Neural Networks for large scale Language Modeling , a task central to language understanding . We extend current models to deal with two key challenges present in this task : corpora and vocabulary sizes , and complex , long term structure of language . We perform an exhaustive study on techniques such as character Convolutional Neural Networks or Long - Short Term Memory , on the One Billion Word Benchmark . Our best single model significantly improves state - of - the - art perplexity from 51.3 down to 30.0 ( whilst reducing the number of parameters by a factor of 20 ) , while an ensemble of models sets a new record by improving perplexity from 41.0 down to 23.7 . We also release these models for the NLP and ML community to study and improve upon .",5,"['Task', 'Method', 'Material', 'Metric']","In this work we explore recent advances in Recurrent Neural Networks for large scale Language Modeling , a task central to language understanding . We extend current models to deal with two key challenges present in this task : corpora and vocabulary sizes , and complex , long term structure of language . We perform an exhaustive study on techniques such as character Convolutional Neural Networks or Long - Short Term Memory , on the One Billion Word Benchmark . Our best single model significantly improves state - of - the - art perplexity from 51.3 down to 30.0 ( whilst reducing the number of parameters by a factor of 20 ) , while an ensemble of models sets a new record by improving perplexity from 41.0 down to 23.7 . We also release these models for the NLP and ML community to study and improve upon .","{'Task': ['language understanding', 'Language Modeling', 'NLP and ML community'], 'Method': ['character Convolutional Neural Networks', 'Recurrent Neural Networks', 'ensemble of models', 'Long - Short Term Memory'], 'Material': ['One Billion Word Benchmark'], 'Metric': ['perplexity']}","<ANSWER>
{'Task': ['large scale Language Modeling', 'dealing with corpora and vocabulary sizes, complex, long term structure of language'],
 'Method': ['Recurrent Neural Networks', 'character Convolutional Neural Networks', 'Long - Short Term Memory'],
 'Material': ['One Billion Word Benchmark'],
 'Metric': ['perplexity']}
</ANSWER>","<ANSWER>
Task: [ ""large scale Language Modeling"", ""exploring recent advances in Recurrent Neural Networks"" ]
Method: [ ""character Convolutional Neural Networks"", ""Long - Short Term Memory"" ]
Material: [ ""One Billion Word Benchmark"" ]
Metric: [ ""perplexity"" ]
</ANSWER>"
0398552184f80db111e9c28bf533b395f233ac00,"Bridging Saliency Detection to Weakly Supervised Object Detection Based on Self - paced Curriculum Learning section : Abstract Weakly - supervised object detection ( WOD ) is a challenging problems in computer vision . The key problem is to simultaneously infer the exact object locations in the training images and train the object detectors , given only the training images with weak image - level labels . Intuitively , by simulating the selective attention mechanism of human visual system , saliency detection technique can select attractive objects in scenes and thus is a potential way to provide useful priors for WOD .",5,"['Task', 'Method', 'Material', 'Metric']","Bridging Saliency Detection to Weakly Supervised Object Detection Based on Self - paced Curriculum Learning section : Abstract Weakly - supervised object detection ( WOD ) is a challenging problems in computer vision . The key problem is to simultaneously infer the exact object locations in the training images and train the object detectors , given only the training images with weak image - level labels . Intuitively , by simulating the selective attention mechanism of human visual system , saliency detection technique can select attractive objects in scenes and thus is a potential way to provide useful priors for WOD .","{'Task': ['WOD', 'saliency detection', 'Weakly Supervised Object Detection', 'Bridging Saliency Detection', 'Weakly - supervised object detection', 'computer vision'], 'Method': ['object detectors', 'Self - paced Curriculum Learning', 'human visual system', 'selective attention mechanism'], 'Material': [], 'Metric': []}","<ANSWER>
{'Task': ['weakly supervised object detection', 'inferring the exact object locations', 'training the object detectors'],
 'Method': ['simulating the selective attention mechanism of human visual system', 'saliency detection technique'],
 'Material': [],
 'Metric': []
}
</ANSWER>","<ANSWER>
Task:
- Weakly-supervised object detection (WOD)

Method:
- Self-paced Curriculum Learning
- Saliency detection technique

Material:
- Training images
- Weak image-level labels

Metric:
- Object locations
</ANSWER>"
05d2700846c0323f79c1344aca5333994c7c03a5,"document : The IBM 2016 English Conversational Telephone Speech Recognition System We describe a collection of acoustic and language modeling techniques that lowered the word error rate of our English conversational telephone LVCSR system to a record 6.6 % on the Switchboard subset of the Hub5 2000 evaluation testset . On the acoustic side , we use a score fusion of three strong models : recurrent nets with maxout activations , very deep convolutional nets with 3x3 kernels , and bidirectional long short - term memory nets which operate on FMLLR and i - vector features . On the language modeling side , we use an updated model “ M ” and hierarchical neural network LMs . GeorgeSaon , TomSercu , StevenRennieandHong - KwangJ.Kuo IBMT.J.WatsonResearchCenter , YorktownHeights , NY , 10598 gsaon@us.ibm.com",5,"['Task', 'Method', 'Material', 'Metric']","document : The IBM 2016 English Conversational Telephone Speech Recognition System We describe a collection of acoustic and language modeling techniques that lowered the word error rate of our English conversational telephone LVCSR system to a record 6.6 % on the Switchboard subset of the Hub5 2000 evaluation testset . On the acoustic side , we use a score fusion of three strong models : recurrent nets with maxout activations , very deep convolutional nets with 3x3 kernels , and bidirectional long short - term memory nets which operate on FMLLR and i - vector features . On the language modeling side , we use an updated model “ M ” and hierarchical neural network LMs . GeorgeSaon , TomSercu , StevenRennieandHong - KwangJ.Kuo IBMT.J.WatsonResearchCenter , YorktownHeights , NY , 10598 gsaon@us.ibm.com","{'Task': ['language modeling side', 'IBM 2016 English Conversational Telephone Speech Recognition System'], 'Method': ['3x3 kernels', 'maxout activations', 'strong models', 'recurrent nets', 'bidirectional long short - term memory nets', 'deep convolutional nets', 'updated model', 'acoustic and language modeling techniques', 'English conversational telephone LVCSR system', 'M ”', 'hierarchical neural network LMs'], 'Material': ['Switchboard subset'], 'Metric': ['word error rate']}","<ANSWER>
{'Task': ['English conversational telephone LVCSR system evaluation'],
 'Method': ['score fusion', 'recurrent nets with maxout activations', 'very deep convolutional nets with 3x3 kernels', 'bidirectional long short - term memory nets', 'updated model “ M ”', 'hierarchical neural network LMs'],
 'Material': ['IBM 2016 English Conversational Telephone Speech Recognition System', 'Switchboard subset of the Hub5 2000 evaluation testset', 'FMLLR and i-vector features'],
 'Metric': ['word error rate']}
</ANSWER>","<ANSWER>
Tasks:
- Developing and improving an English conversational telephone LVCSR system

Methods:
- Score fusion of three strong acoustic models: recurrent nets with maxout activations, very deep convolutional nets with 3x3 kernels, and bidirectional long short-term memory nets
- Use of an updated language model ""M""
- Hierarchical neural network LMs

Materials:
- Hub5 2000 evaluation testset (Switchboard subset)
- FMLLR and i-vector features

Metrics:
- Word error rate (WER)
- Record WER of 6.6%
</ANSWER>"
0626908dd710b91aece1a81f4ca0635f23fc47f3,"document : Rethinking the Inception Architecture for Computer Vision Convolutional networks are at the core of most state - of - the - art computer vision solutions for a wide variety of tasks . Since 2014 very deep convolutional networks started to become mainstream , yielding substantial gains in various benchmarks . Although increased model size and computational cost tend to translate to immediate quality gains for most tasks ( as long as enough labeled data is provided for training ) , computational efficiency and low parameter count are still enabling factors for various use cases such as mobile vision and big - data scenarios . Here we are exploring ways to scale up networks in ways that aim at utilizing the added computation as efficiently as possible by suitably factorized convolutions and aggressive regularization .",5,"['Task', 'Method', 'Material', 'Metric']","document : Rethinking the Inception Architecture for Computer Vision Convolutional networks are at the core of most state - of - the - art computer vision solutions for a wide variety of tasks . Since 2014 very deep convolutional networks started to become mainstream , yielding substantial gains in various benchmarks . Although increased model size and computational cost tend to translate to immediate quality gains for most tasks ( as long as enough labeled data is provided for training ) , computational efficiency and low parameter count are still enabling factors for various use cases such as mobile vision and big - data scenarios . Here we are exploring ways to scale up networks in ways that aim at utilizing the added computation as efficiently as possible by suitably factorized convolutions and aggressive regularization .","{'Task': ['big - data scenarios', 'Computer Vision', 'mobile vision'], 'Method': ['deep convolutional networks', 'factorized convolutions', 'aggressive regularization', 'computer vision solutions', 'Inception Architecture', 'Convolutional networks'], 'Material': [], 'Metric': ['computational cost', 'computational efficiency', 'model size', 'low parameter count']}","<ANSWER>
{'Task': ['state-of-the-art computer vision solutions', 'various tasks', 'use cases such as mobile vision and big-data scenarios'],
 'Method': ['very deep convolutional networks', 'scaling up networks', 'suitably factorized convolutions', 'aggressive regularization'],
 'Material': ['convolutional networks', 'enough labeled data'],
 'Metric': ['immediate quality gains', 'computational efficiency', 'low parameter count']
}
</ANSWER>","<ANSWER>
Task: [""computer vision solutions"", ""various tasks"", ""mobile vision"", ""big data scenarios""]
Method: [""very deep convolutional networks"", ""suitably factorized convolutions"", ""aggressive regularization""]
Material: []
Metric: [""immediate quality gains"", ""computational efficiency"", ""low parameter count""]
</ANSWER>"
0678a8abea82793993cd89383319da75f6dc4be3,"document : ProNet : Learning to Propose Object - specific Boxes for Cascaded Neural Networks This paper aims to classify and locate objects accurately and efficiently , without using bounding box annotations . It is challenging as objects in the wild could appear at arbitrary locations and in different scales . In this paper , we propose a novel classification architecture ProNet based on convolutional neural networks . It uses computationally efficient neural networks to propose image regions that are likely to contain objects , and applies more powerful but slower networks on the proposed regions .",5,"['Task', 'Method', 'Material', 'Metric']","document : ProNet : Learning to Propose Object - specific Boxes for Cascaded Neural Networks This paper aims to classify and locate objects accurately and efficiently , without using bounding box annotations . It is challenging as objects in the wild could appear at arbitrary locations and in different scales . In this paper , we propose a novel classification architecture ProNet based on convolutional neural networks . It uses computationally efficient neural networks to propose image regions that are likely to contain objects , and applies more powerful but slower networks on the proposed regions .","{'Task': [], 'Method': ['convolutional neural networks', 'classification architecture ProNet', 'neural networks', 'ProNet', 'Learning to Propose Object - specific Boxes for Cascaded Neural Networks'], 'Material': [], 'Metric': []}","<ANSWER>
{'Task': ['classify', 'locate', 'objects', 'accurately', 'efficiently', 'without using bounding box annotations'],
 'Method': ['ProNet', 'convolutional neural networks', 'computationally efficient neural networks', 'applies more powerful but slower networks'],
 'Material': [],
 'Metric': []
}
</ANSWER>","<ANSWER>
Task: Object classification and localization without using bounding box annotations
Method: Proposing image regions using computationally efficient neural networks (ProNet) and applying more powerful but slower networks on the proposed regions
Material: Convolutional neural networks
Metric: Accuracy and efficiency
</ANSWER>"
081531984770a74e87dbd68907061b4b0f3631bf,"document : Real - Time Video Super - Resolution with Spatio - Temporal Networks and Motion Compensation Convolutional neural networks have enabled accurate image super - resolution in real - time . However , recent attempts to benefit from temporal correlations in video super - resolution have been limited to naive or inefficient architectures . In this paper , we introduce spatio - temporal sub - pixel convolution networks that effectively exploit temporal redundancies and improve reconstruction accuracy while maintaining real - time speed . Specifically , we discuss the use of early fusion , slow fusion and 3D convolutions for the joint processing of multiple consecutive video frames .",5,"['Task', 'Method', 'Material', 'Metric']","document : Real - Time Video Super - Resolution with Spatio - Temporal Networks and Motion Compensation Convolutional neural networks have enabled accurate image super - resolution in real - time . However , recent attempts to benefit from temporal correlations in video super - resolution have been limited to naive or inefficient architectures . In this paper , we introduce spatio - temporal sub - pixel convolution networks that effectively exploit temporal redundancies and improve reconstruction accuracy while maintaining real - time speed . Specifically , we discuss the use of early fusion , slow fusion and 3D convolutions for the joint processing of multiple consecutive video frames .","{'Task': ['Real - Time Video Super - Resolution', 'video super - resolution', 'image super - resolution in real - time', 'video'], 'Method': ['Convolutional neural networks', 'early fusion', 'spatio - temporal sub - pixel convolution networks', 'slow fusion', 'Motion Compensation', 'Spatio - Temporal Networks', '3D convolutions'], 'Material': [], 'Metric': ['real - time speed', 'reconstruction accuracy']}","<ANSWER>
{'Task': ['Real-time Video Super-Resolution'], 'Method': ['Spatio-temporal sub-pixel convolution networks', 'Early fusion', 'Slow fusion', '3D convolutions'], 'Material': [], 'Metric': ['Reconstruction accuracy']}
</ANSWER>","<ANSWER>
Task: Real-time video super-resolution
Method:
- Spatio-temporal sub-pixel convolution networks
- Early fusion
- Slow fusion
- 3D convolutions
Material: Convolutional neural networks
Metric: Reconstruction accuracy
</ANSWER>"
0834e74304b547c9354b6d7da6fa78ef47a48fa8,"document : LINE : Large - scale Information Network Embedding This paper studies the problem of embedding very large information networks into low - dimensional vector spaces , which is useful in many tasks such as visualization , node classification , and link prediction . Most existing graph embedding methods do not scale for real world information networks which usually contain millions of nodes . In this paper , we propose a novel network embedding method called the “ LINE , ” which is suitable for arbitrary types of information networks : undirected , directed , and / or weighted . The method optimizes a carefully designed objective function that preserves both the local and global network structures .",5,"['Task', 'Method', 'Material', 'Metric']","document : LINE : Large - scale Information Network Embedding This paper studies the problem of embedding very large information networks into low - dimensional vector spaces , which is useful in many tasks such as visualization , node classification , and link prediction . Most existing graph embedding methods do not scale for real world information networks which usually contain millions of nodes . In this paper , we propose a novel network embedding method called the “ LINE , ” which is suitable for arbitrary types of information networks : undirected , directed , and / or weighted . The method optimizes a carefully designed objective function that preserves both the local and global network structures .","{'Task': ['low - dimensional vector spaces', 'link prediction', 'node classification', 'real world information networks', 'information networks', 'embedding very large information networks', 'visualization'], 'Method': ['graph embedding methods', 'objective function', 'LINE', 'Large - scale Information Network Embedding', 'network embedding method'], 'Material': [], 'Metric': []}","<ANSWER>
{'Task': ['visualization', 'node classification', 'link prediction'],
 'Method': ['LINE'],
 'Material': [],
 'Metric': ['local network structures', 'global network structures']}
</ANSWER>","<ANSWER>
Task: [[""visualization"", ""node classification"", ""link prediction""]]
Method: [""LINE""]
Material: []
Metric: [""local network structures"", ""global network structures""]
</ANSWER>"
0a3381f0432c5cfe491c718349d7a44e5814592c,"document : Compositional Sequence Labeling Models for Error Detection in Learner Writing In this paper , we present the first experiments using neural network models for the task of error detection in learner writing . We perform a systematic comparison of alternative compositional architectures and propose a framework for error detection based on bidirectional LSTMs . Experiments on the CoNLL - 14 shared task dataset show the model is able to outperform other participants on detecting errors in learner writing . Finally , the model is integrated with a publicly deployed self - assessment system , leading to performance comparable to human annotators .",5,"['Task', 'Method', 'Material', 'Metric']","document : Compositional Sequence Labeling Models for Error Detection in Learner Writing In this paper , we present the first experiments using neural network models for the task of error detection in learner writing . We perform a systematic comparison of alternative compositional architectures and propose a framework for error detection based on bidirectional LSTMs . Experiments on the CoNLL - 14 shared task dataset show the model is able to outperform other participants on detecting errors in learner writing . Finally , the model is integrated with a publicly deployed self - assessment system , leading to performance comparable to human annotators .","{'Task': ['Learner Writing', 'detecting errors in learner writing', 'error detection', 'learner writing', 'Error Detection'], 'Method': ['LSTMs', 'neural network models', 'compositional architectures', 'self - assessment', 'Compositional Sequence Labeling Models'], 'Material': ['CoNLL - 14 shared task dataset'], 'Metric': []}","<ANSWER>
{'Task': ['error detection in learner writing', 'detecting errors'],
 'Method': ['neural network models', 'compositional architectures', 'bidirectional LSTMs'],
 'Material': ['CoNLL - 14 shared task dataset'],
 'Metric': ['performance']}
</ANSWER>","<ANSWER>
Task: error detection in learner writing
Method: neural network models, compositional architectures, bidirectional LSTMs
Material: CoNLL-14 shared task dataset
Metric: performance comparable to human annotators
</ANSWER>"
0a6c36de8726b6feaab586046ddc1d1a008f44f9,"document : Filtered Channel Features for Pedestrian Detection This paper starts from the observation that multiple top performing pedestrian detectors can be modelled by using an intermediate layer filtering low - level features in combination with a boosted decision forest . Based on this observation we propose a unifying framework and experimentally explore different filter families . We report extensive results enabling a systematic analysis . Using filtered channel features we obtain top performance on the challenging Caltech and KITTI datasets , while using only HOG + LUV as low - level features .",5,"['Task', 'Method', 'Material', 'Metric']","document : Filtered Channel Features for Pedestrian Detection This paper starts from the observation that multiple top performing pedestrian detectors can be modelled by using an intermediate layer filtering low - level features in combination with a boosted decision forest . Based on this observation we propose a unifying framework and experimentally explore different filter families . We report extensive results enabling a systematic analysis . Using filtered channel features we obtain top performance on the challenging Caltech and KITTI datasets , while using only HOG + LUV as low - level features .","{'Task': ['Pedestrian Detection'], 'Method': ['boosted decision forest', 'unifying framework', 'Filtered Channel Features', 'top performing pedestrian detectors', 'intermediate layer filtering low - level features', 'filter families'], 'Material': ['Caltech', 'KITTI'], 'Metric': []}","<ANSWER>
{'Task': ['pedestrian detection'], 'Method': ['intermediate layer filtering', 'using an intermediate layer to filter low-level features', 'boosted decision forest'], 'Material': ['multiple top performing pedestrian detectors', 'low-level features (HOG + LUV)'], 'Metric': ['extensive results', 'top performance on the challenging Caltech and KITTI datasets']}
</ANSWER>","<ANSWER>
Task: Pedestrian Detection
Method: Intermediate layer filtering, Boosted decision forest
Material: Low-level features (Filtered channel features, HOG + LUV)
Metric: Extensive results enabling systematic analysis, Top performance on Caltech and KITTI datasets
</ANSWER>"
